Model,Fuel Type,Mileage,Owner,Location,Price
Mahindra Thar (2018),DIESEL,"19,632 KM",1st,"Umaid Heritage Colony, Jodhpur","₹ 7,31,000"
Honda Brio (2016),PETROL,35000.0 KM,1st,"Brijalpur, Jaipur","₹ 4,75,000"
Mahindra Scorpio (2017),DIESEL,58000.0 KM,1st,"Sikar Industrial Area, Sikar","₹ 13,85,000"
Hyundai Elite I20 (2018),--,58000.0 KM,2nd,"Vaishali Nagar, Jaipur","₹ 6,50,000"
Bmw 5 Series (2012),DIESEL,33500.0 KM,2nd,"Nirman Nagar, Jaipur","₹ 18,50,000"
Hyundai I10 (2012),PETROL,56000.0 KM,1st,"JLN Marg, Jaipur","₹ 2,90,000"
Honda Amaze (2019),PETROL,26000.0 KM,1st,"Chitrakoot, Jaipur","₹ 6,00,000"
Hyundai Eon (2014),DIESEL,74217.0 KM,1st,"Metal Nagar, Jaipur","₹ 2,55,000"
Maruti Suzuki Swift Dzire (2015),DIESEL,"77,948 KM",2nd,"Moti Ki Dhani, Sikar","₹ 6,80,000"
Hyundai Grand I10 (2017),PETROL,45000.0 KM,1st,"Railway Station Area, Jaipur","₹ 5,00,000"
Other Brands Others (1965),PETROL,70000.0 KM,1st,"Nirman Nagar, Jaipur","₹ 16,00,000"
Maruti Suzuki Alto K10 (2011),PETROL,61000.0 KM,1st,"Transport Nagar, Jaipur","₹ 2,00,000"
Other Brands Others (2014),PETROL,35000.0 KM,1st,"Nirman Nagar, Jaipur","₹ 2,90,000"
Ford Fiesta Classic (2009),PETROL,"89,776 KM",1st,"Khatipura, Jaipur","₹ 1,55,000"
Maruti Suzuki Wagon R (2012),CNG & HYBRIDS,"74,000 KM",1st,"MI Road, Jaipur","₹ 1,95,000"
Mercedes-Benz Cla (2019),PETROL,16000.0 KM,1st,"Raja Park, Jaipur","₹ 31,00,000"
Hyundai I10 (2008),PETROL,20 KM,3rd,"Shri Karni Colony, Borawar","₹ 1,60,000"
Maruti Suzuki Alto (2009),PETROL,"70,000 KM",3rd,"Hathod, Jaipur","₹ 1,45,000"
Toyota Innova (2005),DIESEL,"324,000 KM",4+,"New Khetan Colony, Losal","₹ 2,50,000"
Maruti Suzuki Swift Dzire (2014),DIESEL,"82,000 KM",3rd,"Ambika Colony, Bhinmal","₹ 4,80,000"
Maruti Suzuki Zen Estilo (2008),PETROL,"60,000 KM",2nd,"Teacher Colony, Rawatbhata","₹ 1,60,000"
Hyundai Elite I20 (2019),PETROL,20 KM,1st,"Keshan Colony, Sikar","₹ 6,25,000"
Hyundai Santro Xing (2010),PETROL,"56,000 KM",1st,"Shrinagarpura, Jaipur","₹ 1,90,000"
Maruti Suzuki 800 (2011),PETROL,"78,000 KM",2nd,"Mallatalal, Udaipur","₹ 90,000"
Maruti Suzuki Wagon R (2011),PETROL,64000.0 KM,1st,"Jaman Nagar, Jaipur","₹ 2,25,000"
Ford Figo (2016),PETROL,"24,000 KM",2nd,"Mahaveer Nagar, Kota","₹ 4,85,000"
Mahindra Scorpio (2018),DIESEL,"49,000 KM",1st,"BJS Colony, Jodhpur","₹ 16,00,000"
Maruti Suzuki Alto 800 (2020),PETROL,"16,000 KM",1st,"Samta Nagar Colony, Bikaner","₹ 3,40,000"
Mahindra Others (2013),DIESEL,"125,000 KM",2nd,"Dalmiyon Ki Dhani, Chirawa","₹ 4,10,000"
Mahindra Scorpio (2017),DIESEL,58000.0 KM,1st,"Bikaneri, Bikaner","₹ 13,85,000"
Hyundai Santro (2006),PETROL,"57,000 KM",3rd,"Jamdoli, Jaipur","₹ 1,50,000"
Maruti Suzuki 800 (2007),LPG,350 KM,2nd,"Dorkuwa, Bhinder","₹ 75,000"
Maruti Suzuki Swift Dzire (2017),DIESEL,"125,000 KM",2nd,"Erinpura, Sumerpur","₹ 6,15,000"
Mahindra Bolero (2012),DIESEL,"180,000 KM",2nd,"Khatripura, Nagaur","₹ 4,50,000"
Land Rover Range Rover Sport (2018),DIESEL,22000.0 KM,1st,"Civil Lines, Jaipur","₹ 1,29,00,000"
Honda City (2009),CNG & HYBRIDS,"66,000 KM",2nd,"Sardarpura, Jodhpur","₹ 4,00,000"
Maruti Suzuki Alto (2005),LPG,"100,000 KM",3rd,"Megras, Bhilwara","₹ 1,10,000"
Mahindra Bolero (2021),DIESEL,"15,000 KM",1st,"5 Kwd, Rawatsar","₹ 10,25,000"
Honda Amaze (2015),DIESEL,60000.0 KM,1st,"Railway Station Area, Jaipur","₹ 5,00,000"
Maruti Suzuki 800 (2009),PETROL,25 KM,3rd,"Siluwali Baadi, Hanumangarh","₹ 1,50,000"
Maruti Suzuki Eeco (2012),DIESEL,17 KM,1st,"Anantpura, Kota","₹ 3,00,000"
Tata Nexon (2019),PETROL,19000.0 KM,1st,"Bikaneri, Bikaner","₹ 7,75,000"
Maruti Suzuki Celerio (2017),PETROL,22 KM,1st,"Pyau, Jaitaran","₹ 1,00,000"
Mahindra Bolero Pik-Up (2019),DIESEL,"65,000 KM",1st,"Aditya Nagar, Kota","₹ 3,50,000"
Maruti Suzuki Wagon R (2011),PETROL,64000.0 KM,3rd,"Everest Vihar, Jaipur","₹ 2,40,000"
Maruti Suzuki Alto K10 (2012),PETROL,"79,000 KM",4th,"Banga Nagar, Bikaner","₹ 2,25,000"
Hyundai Accent (2007),DIESEL,"77,000 KM",2nd,"Purohit Ji Ki Dhani, Sikar","₹ 1,20,000"
Mahindra Bolero (2005),DIESEL,"179,200 KM",2nd,"Jajiwal Kutri, Jodhpur","₹ 2,40,000"
Toyota Innova (2015),DIESEL,"211,000 KM",2nd,"Champa Nagar, Beawar","₹ 10,00,000"
Renault Scala (2013),DIESEL,"105,000 KM",1st,"Sodala, Jaipur","₹ 3,10,000"
Maruti Suzuki Zen Estilo (2007),PETROL,"73,000 KM",3rd,"Vaishali Nagar, Ajmer","₹ 1,00,000"
Mahindra Scorpio (2008),DIESEL,"400,000 KM",1st,"Mundawar, Khairthal","₹ 3,00,000"
Skoda Rapid (2012),DIESEL,67000.0 KM,1st,"Vaishali Nagar, Jaipur","₹ 3,85,000"
Maruti Suzuki Wagon R (2010),LPG,67000.0 KM,1st,"Jhalamand, Jodhpur","₹ 1,85,000"
Chevrolet Spark (2009),PETROL,78000.0 KM,1st,"Kankarda Bhonabay, Ajmer","₹ 1,05,000"
Maruti Suzuki Ritz (2012),DIESEL,"135,000 KM",1st,"Karigar Mohalla, Sikar","₹ 3,15,000"
Hyundai Santro Xing (2010),CNG & HYBRIDS,"101,000 KM",2nd,"Jharoda, Behror","₹ 1,30,000"
Mahindra Tuv 300 (2015),DIESEL,"82,000 KM",1st,"Katra, Nadbai","₹ 4,65,000"
Mahindra Quanto (2012),DIESEL,110000.0 KM,1st,"Radha Govind Colony, Jaipur","₹ 2,75,000"
Chevrolet Sail Hatchback (2014),PETROL,80000.0 KM,1st,"Sikar Industrial Area, Sikar","₹ 2,25,000"
Fiat Abarth 595 (2017),PETROL,7000.0 KM,1st,"Civil Lines, Jaipur","₹ 20,00,000"
Mahindra Thar (2016),DIESEL,"46,000 KM",1st,"Gangarampura, Jaipur","₹ 5,80,000"
Maruti Suzuki Alto (2008),CNG & HYBRIDS,"159,000 KM",4+,"Vinayak Nagar, Bhinmal","₹ 79,000"
Force Motors Trax Cruiser (2010),DIESEL,"100,000 KM",1st,Sangod,"₹ 4,00,000"
Hyundai I10 (2010),PETROL,"58,000 KM",3rd,"Ghotal, Bhiwadi","₹ 1,80,000"
Hyundai Eon (2016),PETROL,"59,876 KM",2nd,"Tilak Nagar, Bikaner","₹ 2,61,000"
Mahindra Thar (2015),DIESEL,"68,000 KM",1st,"Shiv Nagar, Sikar","₹ 5,10,000"
Mahindra Bolero (2017),DIESEL,84000.0 KM,--,"Luhar Colony, Kishangarh Ajmer District","₹ 7,50,000"
Honda Wr-V (2017),PETROL,9300.0 KM,1st,"Ajmer Road, Jaipur","₹ 7,50,000"
Ford Fiesta (2013),DIESEL,53000.0 KM,1st,"Jaman Nagar, Jaipur","₹ 2,85,000"
Maruti Suzuki Wagon R 1.0 (2007),PETROL,"68,000 KM",3rd,"Jalori Gate, Jodhpur","₹ 1,85,000"
Maruti Suzuki Alto 800 (2018),PETROL,"35,000 KM",2nd,"Aklera Industrail Area, Aklera","₹ 2,85,000"
Maruti Suzuki 800 (2015),PETROL,"60,000 KM",1st,Salasar,"₹ 2,70,000"
Maruti Suzuki 800 (2007),PETROL,"100,000 KM",4th,"Khadibagh, Chomun","₹ 80,000"
Chevrolet Beat (2012),DIESEL,"84,000 KM",1st,"Hanuman Nagar, Sambhar","₹ 1,30,000"
Toyota Innova (2008),DIESEL,"332,000 KM",2nd,"Abhay Garh, Jodhpur","₹ 3,70,000"
Mahindra Jeep (1989),DIESEL,22 KM,2nd,"Adarsha Nagar, Udaipur","₹ 2,55,000"
Other Brands Others (2017),PETROL,"31,000 KM",1st,"Kundan Nagar, Ajmer","₹ 5,90,000"
Maruti Suzuki Alto 800 (2017),PETROL,"48,000 KM",1st,"Bramha Colony, Udaipur","₹ 3,35,000"
Maruti Suzuki Alto 800 (2009),PETROL,20 KM,4th,"Sindhi Colony, Niwai","₹ 1,20,000"
Hyundai I10 (2012),PETROL,"90,000 KM",1st,"Madarpura, Ajmer","₹ 2,50,000"
Bmw X1 (2013),DIESEL,117500.0 KM,1st,"Nirman Nagar, Jaipur","₹ 14,90,000"
Honda City (2016),DIESEL,70000.0 KM,2nd,"Everest Vihar, Jaipur","₹ 6,50,000"
Hyundai Verna (2019),DIESEL,21000.0 KM,1st,"Brijalpur, Jaipur","₹ 11,35,000"
Maruti Suzuki A-Star (2009),PETROL,"120,000 KM",3rd,"Housing Board Colony, Dausa","₹ 1,86,000"
Honda Civic (2010),PETROL,"95,400 KM",2nd,"Bani Park, Jaipur","₹ 3,80,000"
Maruti Suzuki Alto K10 (2017),CNG & HYBRIDS,"45,000 KM",2nd,"Sundarwas, Udaipur","₹ 3,75,000"
Hyundai Santro Xing (2006),PETROL,119000.0 KM,1st,"Malviya Nagar, Jaipur","₹ 1,10,000"
Tata Others (2017),DIESEL,"34,190 KM",1st,"Jagatpura, Jaipur","₹ 6,00,000"
Hyundai I20 (2012),DIESEL,"90,000 KM",2nd,"Garhimiliyan, Ajmer","₹ 3,30,000"
Mahindra Others (1997),DIESEL,"330,000 KM",3rd,"Bhagat Singh Chowk, Hanumangarh","₹ 3,30,000"
Maruti Suzuki 800 (2009),CNG & HYBRIDS,"68,000 KM",2nd,"Sirson Ki Dhani, Kuchaman City","₹ 85,000"
Maruti Suzuki Omni (2008),PETROL,"101,400 KM",3rd,Kawai,"₹ 1,00,000"
Mahindra Scorpio (2012),DIESEL,15 KM,2nd,"Rewant Singh Ki Dhani, Jaisalmer","₹ 6,50,000"
Ford Fiesta (2009),DIESEL,16 KM,3rd,"Subhas Nagar, Sojat","₹ 1,45,000"
Maruti Suzuki 800 (2006),PETROL,"11,000 KM",3rd,"Basni Silawatan, Boranada Special Economic Zone","₹ 1,10,000"
Tata Indigo Cs (2013),DIESEL,"200,000 KM",1st,"Ajmer Road, Jaipur","₹ 1,40,000"
Chevrolet Tavera (2007),DIESEL,"200,000 KM",4+,"Sector 4, Chittorgarh","₹ 2,00,000"
Maruti Suzuki Ertiga (2014),DIESEL,151000.0 KM,--,"Luhar Colony, Kishangarh Ajmer District","₹ 6,25,000"
Tata Hexa (2018),DIESEL,"48,000 KM",1st,"Gandhi Maidan, Jodhpur","₹ 16,00,000"
Hyundai Xcent (2014),DIESEL,84000.0 KM,1st,"Bikaneri, Bikaner","₹ 4,15,000"
Maruti Suzuki Alto K10 (2011),PETROL,"80,000 KM",4th,"Bhawani Colony, Pali","₹ 1,39,000"
Tata Safari (2010),DIESEL,"116,000 KM",1st,"Radha Govind Colony, Jaipur","₹ 3,21,000"
Maruti Suzuki Alto K10 (2019),PETROL,25 KM,2nd,"Shri Jeevan Rajput Colony, Deoli","₹ 3,80,000"
Mahindra Xuv500 (2013),DIESEL,82000.0 KM,2nd,"Bani Park, Jaipur","₹ 6,25,000"
Other Brands Others (2017),LPG,1 KM,4+,"Chaukunti Mohalla, Bikaner","₹ 18,50,000"
Mahindra Kuv 100 (2016),PETROL,"35,000 KM",1st,"Bayana Industrial Area, Bayana","₹ 4,25,000"
Hyundai Creta (2019),DIESEL,35159.0 KM,1st,"Nirman Nagar, Jaipur","₹ 10,99,000"
Mahindra Bolero (2015),DIESEL,"76,000 KM",2nd,"Jalor B, Jalor","₹ 5,60,000"
Isuzu Others (1983),DIESEL,"25,689 KM",4th,"Navrang Nagar, Beawar","₹ 3,21,000"
Ford Endeavour (2011),DIESEL,"97,000 KM",1st,"Shastri Nagar, Jodhpur","₹ 6,00,000"
Maruti Suzuki 800 (2002),PETROL,"26,000 KM",2nd,"Kesarpura RIICO Extension Industrial Area, Sheoganj","₹ 70,000"
Maruti Suzuki Swift (2020),PETROL,12000.0 KM,1st,"Gopalpura By pass, Jaipur","₹ 6,50,000"
Maruti Suzuki Wagon R (2018),PETROL,40321.0 KM,1st,"Rajendra Nagar, Jaipur","₹ 4,55,000"
Maruti Suzuki Swift (2011),DIESEL,"105,000 KM",3rd,"Milap Nagar, Jhunjhunun","₹ 3,60,000"
Ford Escort (1990),DIESEL,50 KM,1st,"Nayako Ka Mohalla, Pilani Town","₹ 83,000"
Maruti Suzuki Swift (2013),DIESEL,"58,000 KM",3rd,"Shikargarh, Jodhpur","₹ 3,95,000"
Chevrolet Tavera (2008),DIESEL,"105,555 KM",3rd,"Garhi, Partapur Industrial Area","₹ 1,30,000"
Tata Others (2018),DIESEL,0 KM,1st,"VS Pathik Colony, Bhilwara","₹ 3,25,000"
Maruti Suzuki Omni (2015),PETROL,0 KM,2nd,"Bhagyddaya Colony, Kishangarh Ajmer District","₹ 2,05,000"
Hyundai Xcent (2016),PETROL,56000.0 KM,2nd,"Sikar Industrial Area, Sikar","₹ 4,85,000"
Skoda Rapid (2015),DIESEL,46000.0 KM,1st,"Bikaneri, Bikaner","₹ 6,45,000"
Honda City (2015),DIESEL,80000.0 KM,1st,"Sikar Industrial Area, Sikar","₹ 5,85,000"
Hyundai Verna (2019),PETROL,19000.0 KM,1st,"Sikar Industrial Area, Sikar","₹ 9,50,000"
Maruti Suzuki Swift Dzire (2015),DIESEL,80000.0 KM,1st,"Bikaneri, Bikaner","₹ 5,35,000"
Maruti Suzuki S-Cross (2016),DIESEL,86000.0 KM,2nd,"Sikar Industrial Area, Sikar","₹ 6,70,000"
Maruti Suzuki Alto 800 (2017),PETROL,46000.0 KM,1st,"Luhar Colony, Kishangarh Ajmer District","₹ 2,75,000"
Jeep Compass (2019),PETROL,8000.0 KM,1st,"Brijalpur, Jaipur","₹ 18,90,000"
Ford Endeavour (2008),DIESEL,157000.0 KM,1st,"Bikaneri, Bikaner","₹ 4,50,000"
Maruti Suzuki Baleno (2016),DIESEL,52000.0 KM,2nd,"Malviya Nagar, Jaipur","₹ 6,40,000"
Hyundai Grand I10 (2014),DIESEL,155000.0 KM,1st,"Sikar Industrial Area, Sikar","₹ 3,65,000"
Maruti Suzuki Swift (2017),PETROL,73000.0 KM,1st,"Sikar Industrial Area, Sikar","₹ 5,35,000"
Hyundai I20 (2018),DIESEL,85000.0 KM,1st,"Sikar Industrial Area, Sikar","₹ 7,90,000"
Tata Nexon (2018),DIESEL,66000.0 KM,1st,"Bikaneri, Bikaner","₹ 8,50,000"
Hyundai I20 (2015),PETROL,82000.0 KM,1st,"Bikaneri, Bikaner","₹ 5,25,000"
Maruti Suzuki Celerio (2017),PETROL,24000.0 KM,1st,"Bikaneri, Bikaner","₹ 4,50,000"
Tata Tiago (2017),DIESEL,72000.0 KM,1st,"Sikar Industrial Area, Sikar","₹ 4,60,000"
Honda Wr-V (2019),PETROL,60000.0 KM,--,"Sikar Road, Jaipur","₹ 7,50,000"
Ford Ecosport (2013),DIESEL,98102.0 KM,1st,"Vishwa Nagar, Jaipur","₹ 4,62,000"
Ford Ecosport (2017),DIESEL,"55,000 KM",1st,"Bharat Vihar, Kota","₹ 7,50,000"
Maruti Suzuki Omni (2017),PETROL,"43,980 KM",1st,"Chhavani, Kota","₹ 2,85,000"
Other Brands Others (2008),DIESEL,"600,000 KM",2nd,"New Indira Colony, Sikar","₹ 6,00,000"
Maruti Suzuki Swift Dzire (2014),PETROL,"100,000 KM",1st,"Hindaun Rural, Hindaun","₹ 4,30,000"
Maruti Suzuki Baleno (2016),DIESEL,71500.0 KM,1st,"Everest Vihar, Jaipur","₹ 6,35,000"
Maruti Suzuki Gypsy (1994),PETROL,69000.0 KM,2nd,"Jaman Nagar, Jaipur","₹ 2,85,000"
Mahindra Scorpio (2018),DIESEL,80000.0 KM,1st,"Vaishali Nagar, Jaipur","₹ 12,50,000"
Other Brands Others (2001),PETROL,0 KM,1st,"Nehru Nagar, Barmer","₹ 51,00,000"
Maruti Suzuki Swift (2007),DIESEL,"105,000 KM",3rd,"Police Lines, Bundi","₹ 1,85,000"
Hyundai Accent Viva (2006),DIESEL,"135,000 KM",2nd,"Amer, Jaipur","₹ 1,30,000"
Mahindra Bolero (2015),DIESEL,15 KM,1st,"Kheteshwar Nagar, Barmer","₹ 6,11,000"
Maruti Suzuki Swift (2014),DIESEL,"800,200 KM",2nd,"Abu Road Industrial Area, Abu Road","₹ 3,30,000"
Hyundai Verna (2014),DIESEL,"113,000 KM",1st,"Vaishali Nagar, Jaipur","₹ 5,35,000"
Ford Ecosport (2013),DIESEL,167000.0 KM,2nd,"Bikaneri, Bikaner","₹ 4,50,000"
Nissan Terrano (2018),DIESEL,23500.0 KM,1st,"Vaishali Nagar, Jaipur","₹ 6,68,000"
Mahindra Bolero Pik-Up (2004),DIESEL,"100,000 KM",2nd,"Loonasar, Rajaldesar","₹ 3,40,000"
Maruti Suzuki Wagon R (2007),CNG & HYBRIDS,"87,500 KM",4th,"Gadarikhera, Shahpura Bhilwara District","₹ 1,24,999"
Mahindra Scorpio (2017),DIESEL,"77,532 KM",1st,"Pt Deendayal Nagar, Jhunjhunun","₹ 11,50,000"
Hyundai Creta (2018),DIESEL,"100,175 KM",1st,"Lal Kothi, Jaipur","₹ 8,70,000"
Maruti Suzuki Alto (2011),PETROL,"100,008 KM",3rd,"Phushpura, Sri Madhopur","₹ 1,50,000"
Maruti Suzuki Swift Dzire (2011),PETROL,65533.0 KM,1st,"Nirman Nagar, Jaipur","₹ 3,65,000"
Honda Amaze (2019),PETROL,21000.0 KM,1st,"Brijalpur, Jaipur","₹ 6,40,000"
Volkswagen Tiguan (2018),DIESEL,54000.0 KM,1st,"Chitrakoot, Jaipur","₹ 22,50,000"
Maruti Suzuki Wagon R Duo (2010),PETROL,"96,000 KM",2nd,"Kamla Nehru Nagar, Jodhpur","₹ 1,70,000"
Mahindra Xuv500 (2012),DIESEL,90000.0 KM,2nd,"Mahadev Nagar, Jaipur","₹ 6,00,000"
Hyundai Grand I10 (2016),DIESEL,62400.0 KM,1st,"Mahadev Nagar, Jaipur","₹ 4,10,000"
Maruti Suzuki Omni (2014),PETROL,"70,000 KM",1st,"Mayur Vihar, Jaipur","₹ 1,65,000"
Maruti Suzuki Wagon R Electric (2008),PETROL,"106,000 KM",3rd,"Surajpole Gate, Bharatpur","₹ 70,000"
Hyundai I20 (2013),DIESEL,"92,000 KM",1st,"Gopalpura By pass, Jaipur","₹ 4,00,000"
Hyundai Santro Xing (2004),PETROL,"70,000 KM",2nd,"Dr B R Ambedkar Chowk, Hanumangarh","₹ 60,000"
Hyundai Verna (2007),DIESEL,89000.0 KM,1st,"Mahadev Nagar, Jaipur","₹ 2,10,000"
Hyundai Elite I20 (2017),PETROL,64000.0 KM,1st,"Raja Park, Jaipur","₹ 5,75,000"
Hyundai Xcent (2018),PETROL,8500.0 KM,1st,"Vaishali Nagar, Jaipur","₹ 5,70,000"
Hyundai Creta (2019),DIESEL,"35,000 KM",1st,"Ashok Nagar, Udaipur","₹ 14,75,000"
Maruti Suzuki A-Star (2009),PETROL,136000.0 KM,1st,"Sikar Industrial Area, Sikar","₹ 1,95,000"
Ford Fiesta (2013),DIESEL,53000.0 KM,1st,"Sikar Industrial Area, Sikar","₹ 2,85,000"
Maruti Suzuki Celerio (2017),PETROL,24000.0 KM,1st,"Sikar Industrial Area, Sikar","₹ 4,50,000"
Maruti Suzuki Swift Dzire (2016),DIESEL,"125,000 KM",2nd,"22 Godam Industrial Area, Jaipur","₹ 5,21,000"
Ford Ikon (2000),PETROL,"65,000 KM",1st,"Rampura, Nathdwara","₹ 60,000"
Renault Duster (2012),DIESEL,80000.0 KM,2nd,"Nirman Nagar, Jaipur","₹ 4,10,000"
Maruti Suzuki Ignis (2018),PETROL,18000.0 KM,1st,"Sundarwas, Udaipur","₹ 5,50,000"
Fiat Avventura (2015),DIESEL,"103,000 KM",1st,"Sirsi, Jaipur","₹ 2,50,000"
Maruti Suzuki Zen (2005),PETROL,"117,000 KM",2nd,"Punjabi Mohalla, Hanumangarh","₹ 90,000"
Hyundai Verna (2007),DIESEL,"100,000 KM",3rd,"Moti Khera, RIICO Industrial Area Gudli","₹ 2,00,000"
Maruti Suzuki Wagon R (2010),PETROL,"89,000 KM",3rd,"Baroni, Tonk","₹ 1,85,000"
Mahindra Bolero (2009),CNG & HYBRIDS,"2,009 KM",4th,"Baleecha, Udaipur","₹ 3,30,000"
Maruti Suzuki 800 (2003),PETROL,"26,000 KM",2nd,"Bhupalpur, Bhilwara","₹ 50,000"
Tata Indigo (2005),DIESEL,"90,000 KM",1st,"Kesarpura RIICO Extension Industrial Area, Sheoganj","₹ 80,000"
Maruti Suzuki 800 (1998),LPG,"85,500 KM",4+,"Mallatalal, Udaipur","₹ 40,000"
Maruti Suzuki Alto 800 (2017),PETROL,"12,000 KM",2nd,Gothan,"₹ 3,25,000"
Bmw 3 Series (2012),DIESEL,"60,000 KM",3rd,"Raghunathpura, Udaipur","₹ 12,00,000"
Chevrolet Spark (2010),PETROL,52468.0 KM,1st,"Sikar Road, Jaipur","₹ 1,25,000"
Maruti Suzuki Alto 800 (2014),CNG & HYBRIDS,"80,000 KM",1st,"Surya Nagar Colony, Alwar","₹ 2,35,000"
Tata Harrier (2019),DIESEL,12000.0 KM,1st,"Brijalpur, Jaipur","₹ 15,90,000"
Mahindra Scorpio (2016),DIESEL,36000.0 KM,1st,"Sundarwas, Udaipur","₹ 13,00,000"
Maruti Suzuki Alto 800 (2015),PETROL,65114.0 KM,1st,"Kankarda Bhonabay, Ajmer","₹ 2,10,000"
Honda Civic (2006),PETROL,"55,121 KM",4th,"Ampratpuri, Jaipur","₹ 1,80,000"
Maruti Suzuki 800 (2001),LPG,"100,005 KM",3rd,"Housing Board, Jodhpur","₹ 27,000"
Ford Fiesta (2008),DIESEL,"105,000 KM",2nd,"Maldas Shahri, Udaipur","₹ 1,51,000"
Ashok Leyland Others (2012),DIESEL,"140,000 KM",2nd,"Hanuman Nagar Colony, Mukandgarh","₹ 1,90,000"
Maruti Suzuki Swift Dzire (2011),DIESEL,"80,000 KM",2nd,"New Sabji mandi, Pali","₹ 3,15,000"
Hyundai Eon (2012),LPG,"75,000 KM",2nd,"District Police Line, Hanumangarh","₹ 1,35,000"
Hyundai Venue (2020),PETROL,"14,000 KM",1st,"Keidh City 2, Tapookra","₹ 8,30,000"
Mahindra Scorpio (2007),DIESEL,"150,000 KM",2nd,"Chomu, Chomun","₹ 1,90,000"
Maruti Suzuki Swift (2014),DIESEL,25 KM,2nd,"New Delhi Road, Kotputli","₹ 3,54,000"
Hyundai I20 (2017),DIESEL,"84,000 KM",2nd,"Nai Sarak, Jodhpur","₹ 6,30,000"
Tata Indica (2007),DIESEL,"100,000 KM",3rd,"Dhobiyon Ka Mohalla, Sikar","₹ 75,000"
Hyundai Creta (2019),PETROL,"50,000 KM",1st,"Kaisarganj, Ajmer","₹ 9,50,000"
Mahindra Xuv500 (2015),DIESEL,"136,000 KM",2nd,"Jat Colony, Sikar","₹ 7,00,000"
Hyundai Eon (2014),PETROL,34000.0 KM,1st,"Metal Nagar, Jaipur","₹ 2,50,000"
Honda Brio (2016),PETROL,35000.0 KM,1st,"Brijalpur, Jaipur","₹ 4,75,000"
Mahindra Bolero (2013),DIESEL,"88,000 KM",1st,RIICO Industrial Area Sanchore,"₹ 6,75,000"
Maruti Suzuki Swift (2013),DIESEL,"130,000 KM",2nd,"Indira Colony, Sanchore","₹ 3,15,000"
Maruti Suzuki Swift Dzire (2012),DIESEL,"150,000 KM",2nd,"Udai Vilas Place, Udaipur","₹ 3,00,000"
Honda Amaze (2016),PETROL,49000.0 KM,1st,"Sikar Industrial Area, Sikar","₹ 4,75,000"
Chevrolet Spark (2008),PETROL,"34,000 KM",1st,"Khatipura, Jaipur","₹ 1,00,000"
Skoda Superb (2013),PETROL,103000.0 KM,1st,"Vaishali Nagar, Jaipur","₹ 7,00,000"
Maruti Suzuki Swift (2018),PETROL,50000.0 KM,1st,"Nokha, Udaipur","₹ 6,75,000"
Maruti Suzuki Swift Dzire (2008),DIESEL,"110,000 KM",2nd,"Amarpur, Didwana","₹ 1,65,000"
Honda City (2014),DIESEL,98000.0 KM,1st,"Malviya Nagar, Jaipur","₹ 6,00,000"
Hyundai Santro (2020),PETROL,"8,000 KM",1st,"Sumel, Jaipur","₹ 4,90,000"
Tata Nexon (2018),PETROL,19000.0 KM,1st,"Rajeev Nagar, Jodhpur","₹ 7,75,000"
Maruti Suzuki Swift Dzire (2015),DIESEL,"87,200 KM",2nd,"Basni, Jodhpur","₹ 5,25,000"
Maruti Suzuki Swift (2020),PETROL,"12,000 KM",1st,"Dholpur Industrial Area, Dhaulpur","₹ 6,65,000"
Tata Nexon (2019),PETROL,19353.0 KM,1st,"Nirman Nagar, Jaipur","₹ 7,75,000"
Maruti Suzuki Estilo (2007),LPG,89300.0 KM,2nd,"Patrakar Colony, Jodhpur","₹ 1,21,000"
Renault Kwid (2017),PETROL,51000.0 KM,1st,"Jaman Nagar, Jaipur","₹ 3,25,000"
Tata Indigo Ecs (2014),DIESEL,"225,000 KM",2nd,"Vaidhaji Ka Chowk, Jaipur","₹ 1,50,000"
Hyundai I10 (2012),PETROL,52000.0 KM,1st,"Adarsh Nagar, Ajmer","₹ 2,50,000"
Honda City Zx (2018),PETROL,48000.0 KM,1st,"Shanti Priya Nagar, Jodhpur","₹ 7,25,000"
Hyundai Grand I10 (2016),DIESEL,"90,000 KM",1st,"Bapu Nagar, Beawar","₹ 3,80,000"
Hyundai Verna (2015),DIESEL,89000.0 KM,1st,"Vaishali Nagar, Jaipur","₹ 6,65,000"
Tata Others (2019),DIESEL,"4,500 KM",1st,"Alanpur, Sawai Madhopur","₹ 3,50,000"
Mahindra Thar (2016),DIESEL,"46,000 KM",1st,"Gangarampura, Jaipur","₹ 5,80,000"
Toyota Innova (2014),DIESEL,15 KM,4th,"KN Nagar, Jodhpur","₹ 6,40,000"
Force Motors Trax Cruiser (2010),DIESEL,"100,000 KM",1st,Sangod,"₹ 4,00,000"
Hyundai Eon (2016),PETROL,"59,876 KM",2nd,"Tilak Nagar, Bikaner","₹ 2,61,000"
Maruti Suzuki Alto 800 (2000),LPG,"9,800 KM",2nd,"Malola, Bhilwara","₹ 32,000"
Tata Manza (2012),DIESEL,"175,840 KM",2nd,"Chhabra Gugar, Chhabra","₹ 1,50,000"
Hyundai Verna (2014),DIESEL,68000.0 KM,1st,"Metal Nagar, Jaipur","₹ 5,50,000"
Maruti Suzuki Swift (2011),DIESEL,22 KM,2nd,"RIICO Industrial Area Rajgarh, Churu District, Rajgarh","₹ 2,60,000"
Ford Figo (2010),DIESEL,25 KM,3rd,"Indira Colony, Sanchore","₹ 1,80,000"
